{
{TIME:1552587181,OUT:DEAD},
{TIME:1552579439,LOC:(27.339158;-82.3996045)},
{TIME:1552579409,LOC:(27.3391986;-82.3996175)},
{TIME:1552579382,LOC:(27.3392147;-82.3995523)},
{TIME:1552579340,LOC:(27.3391477;-82.3995826)},
{TIME:1552579299,LOC:(27.3391896;-82.3996022)},
{TIME:1552579275,LOC:(27.3391789;-82.3995166)},
{TIME:1552579244,LOC:(27.3392227;-82.3995402)},
{TIME:1552579200,LOC:(27.3392374;-82.3995752)},
{TIME:1552579154,LOC:(27.3392263;-82.3995813)},
{TIME:1552579107,LOC:(27.3392413;-82.3995598)},
{TIME:1552579083,LOC:(27.3392125;-82.3995771)},
{TIME:1552579057,LOC:(27.3392328;-82.3995674)},
{TIME:1552579016,LOC:(27.3392136;-82.3995869)},
{TIME:1552578926,LOC:(27.3392412;-82.3995476)},
{TIME:1552578885,LOC:(27.3392411;-82.3995332)},
{TIME:1552578844,LOC:(27.3391924;-82.3994927)},
{TIME:1552578767,LOC:(27.3392418;-82.3995597)},
{TIME:1552578682,LOC:(27.3392411;-82.399548)},
{TIME:1552578630,LOC:(27.3392284;-82.399568)},
{TIME:1552578605,LOC:(27.3392128;-82.3995873)},
{TIME:1552578563,LOC:(27.3392043;-82.3995912)},
{TIME:1552578520,LOC:(27.3392134;-82.3995789)},
{TIME:1552578449,LOC:(27.3392328;-82.3995556)},
{TIME:1552578405,LOC:(27.3392098;-82.399606)},
{TIME:1552578365,LOC:(27.3392125;-82.3995782)},
{TIME:1552578341,LOC:(27.3392336;-82.399568)},
{TIME:1552578301,LOC:(27.3391956;-82.3995667)},
{TIME:1552578253,LOC:(27.3392236;-82.3995396)},
{TIME:1552578212,LOC:(27.3391997;-82.3995154)},
{TIME:1552578171,LOC:(27.3391971;-82.3996093)},
{TIME:1552578131,LOC:(27.3391569;-82.3995171)},
{TIME:1552578107,LOC:(27.3392002;-82.3996249)},
{TIME:1552578067,LOC:(27.3392293;-82.3995839)},
{TIME:1552578042,LOC:(27.339194;-82.3994937)},
{TIME:1552578015,LOC:(27.3392287;-82.3995682)},
{TIME:1552577974,LOC:(27.3391689;-82.3995595)},
{TIME:1552577944,LOC:(27.3392149;-82.3995519)},
{TIME:1552577898,LOC:(27.3391402;-82.3995169)},
{TIME:1552577858,LOC:(27.3391792;-82.3995163)},
{TIME:1552577835,LOC:(27.3391507;-82.3994936)},
{TIME:1552577795,LOC:(27.3392291;-82.3995583)},
{TIME:1552577755,LOC:(27.3392036;-82.3995802)},
{TIME:1552577715,LOC:(27.3392248;-82.3995829)},
{TIME:1552577675,LOC:(27.3392109;-82.399569)},
{TIME:1552577634,LOC:(27.3392257;-82.3995954)},
{TIME:1552577593,LOC:(27.3391767;-82.3995825)},
{TIME:1552577552,LOC:(27.339193;-82.3995903)},
{TIME:1552577522,LOC:(27.3392233;-82.3995397)},
{TIME:1552577504,LOC:(27.339164;-82.3996264)},
{TIME:1552577462,LOC:(27.339122;-82.3996428)},
{TIME:1552577438,LOC:(27.3392278;-82.3995519)},
{TIME:1552577412,LOC:(27.3392229;-82.3995402)},
{TIME:1552577370,LOC:(27.3391806;-82.3996037)},
{TIME:1552577328,LOC:(27.339215;-82.3995526)},
{TIME:1552577245,LOC:(27.3392405;-82.3995593)},
{TIME:1552577205,LOC:(27.3392323;-82.3995439)},
{TIME:1552577165,LOC:(27.3392365;-82.3995555)},
{TIME:1552577093,LOC:(27.3392325;-82.3995669)},
}
